id,classes,name,Description
0,human.pedestrian.child,child,A child pedestrian moving around the cityscape.
1,human.pedestrian.construction_worker,construction worker,A human in the scene whose main purpose is construction work.
2,human.pedestrian.personal_mobility,scooter,"A small electric or self-propelled vehicle, e.g. skateboard, segway, or scooters, on which the person typically travels in a upright position. Driver and (if applicable) rider should be included in the bounding box along with the vehicle."
3,human.pedestrian.wheelchair,wheelchair,Any type of wheelchair. If a pedestrian is pushing the wheelchair then they should be labeled separately.
4,movable_object.barrier,barrier,"Any metal, concrete or water barrier temporarily placed in the scene in order to re-direct vehicle or pedestrian traffic. In particular, includes barriers used at construction zones. If there are multiple barriers either connected or just placed next to each other, they should be annotated separately."
5,movable_object.debris,debris,"Debris or movable object that is too large to be driven over safely. Includes misc. things like trash bags, temporary road-signs, objects around construction zones, and trash cans."
6,movable_object.pushable_pullable,pushable pullable,"Objects that a pedestrian may push or pull. For example dolleys, wheel barrows, garbage-bins with wheels, or shopping carts. Typically not designed to carry humans."
7,movable_object.trafficcone,traffic cone,All types of traffic cones.
8,static_object.bicycle_rack,bicycle rack,Area or device intended to park or secure the bicycles in a row. It includes all the bicycles parked in it and any empty slots that are intended for parking bicycles. Bicycles that are not part of the rack should not be included. Instead they should be annotated as bicycles separately.
9,vehicle.bicycle,bicycle,"Human or electric powered 2-wheeled vehicle designed to travel at lower speeds either on road surface, sidewalks or bicycle paths. If there is a rider and/or passenger, include them in the box"
10,vehicle.bus.bendy,bus,Buses and shuttles designed to carry more than 10 people and comprises two or more rigid sections linked by a pivoting joint. Annotate each section of the bendy bus individually.
11,vehicle.bus.rigid,bus,Rigid buses and shuttles designed to carry more than 10 people.
12,vehicle.car,car,"Vehicle designed primarily for personal use, e.g. sedans, hatch-backs, wagons, vans, mini-vans, SUVs and jeeps."
13,vehicle.construction,construction vehicle,Vehicles primarily designed for construction. Typically very slow moving or stationary. Cranes and extremities of construction vehicles are only included in annotations if they interfere with traffic. Trucks used to hauling rocks or building materials are considered trucks rather than construction vehicles.
14,vehicle.ego,ego,
15,vehicle.emergency.ambulance,ambulance,All types of ambulances.
16,vehicle.emergency.police,police car,All types of police vehicles including police bicycles and motorcycles.
17,vehicle.motorcycle,motorcycle,"Gasoline or electric powered 2-wheeled vehicle designed to move rapidly (at the speed of standard cars) on the road surface. This category includes all motorcycles, vespas and scooters. It also includes light 3-wheel vehicles, often with a light plastic roof and open on the sides, that tend to be common in Asia. If there is a rider and/or passenger, include them in the box."
18,vehicle.trailer,trailer,"Any vehicle trailer, both for trucks, cars and motorcycles (regardless of whether currently being towed or not). For semi-trailers (containers) label the truck itself as ""Truck""."
19,vehicle.truck,truck,"Vehicles primarily designed to haul cargo including pick-ups, lorrys, trucks and semi-tractors"
